開設母体,,,,,要件,,,,,,,,,,,,
FH26041,金融論,1,2,46057,秋AB,"木3,4",原田 信行,ミクロ・マクロ経済学という分析手段を使って、金融システムを理論的・実証的に分析することで、経済における金融および金融政策の役割を考察する。,"計量分析システムエリア
対面",,,×,,"Money, Financial System and Economy",FH22041,金融論,2023/1/12 10:22
FH26061,計量時系列分析,1,2,46057,春AB,"火3,4",三崎 広海,実証分析で使用する時系列解析の諸手法を概説すると共に、統計ソフトウェアを用いたデータ解析を通じて具体的な適用方法を習得する。,"計量分析システムエリア
対面(オンライン併用型)",,,×,,Time Series Analysis,FH22061,計量時系列分析,2025/5/23 12:21
FH26071,日本経済論,1,2,46057,春C,集中,高安 雄一,様々な経済指標を通じて日本経済の現状および課題について理解を深める。,"計量分析システムエリア
7/5,7/6,7/12,7/13
オンライン(オンデマンド型)",×,科目開設情報未確定のため,×,,Japanese Economy,FH23021,日本経済論,2025/5/27 14:59
社会工学類(社会経済:公共システムエリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH27012,公共システム演習,2,2,46057,秋AB,"火5,6",作道 真理,公共経済学分野の実証研究でよく用いられる手法を学び、社会経済的な現象を実際のデータおよびコンピュータを用いて分析する。,"エリア演習。公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)。2018年度までの「国際・公共システム演習」に相当。
オンライン(同時双方向型)
履修希望者が多い場合は社会工学類3・4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar in Social and Economic Planning:Public System Area,FH21012,グローバルシステム演習,2022/8/10 17:12
FH27031,国際金融論,1,2,46057,春AB,"木3,4",チャン ランアンズーン,本授業では、国際金融の理解に不可欠な基本知識である国民経済計算や国際収支会計などをはじめに学習し、その上で分析の鍵となる為替市場と金融市場との関係について学習する。そして短期・長期の為替レートの決定要因、国際金融と財政・金融政策の相互作用のメカニズムについて理解を深める。,"公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
BC11431と同一。
オンライン(対面併用型)",,,×,,International Finance,FH21041,国際金融論,2025/11/2 12:13
FH27051,公共経済学,1,2,46057,夏季休業中,集中,岸下 大樹,"環境問題・公共財の過小供給や格差・不平等の存在といった市場の機能不全に対処するには,政府による適切な介入が必要となる.どのような政策介入をすべきかを考える学問である公共経済学の主要トピックについて理論と実証の両面から学習する.","公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
9/1-9/4,9/8
オンライン(対面併用型)
授業実施形態などは変更の可能性があるため、最新のシラバスを確認すること。",×,科目開設情報未確定のため,×,,Public Economics,FH23031,公共経済学,2025/6/24 9:24
FH27061,財政学,1,2,46057,夏季休業中,集中,釣 雅雄,財政制度、政府支出、租税、財政赤字と政府債務、社会保障、財政政策といった「財政学」の基本テーマについて、理論と制度の両面から講義する。,"公共システムエリア(2019年度以降入学者),国際・公共システムエリア(2018年度以前入学者)
BB41521と同一。
8/25-29
対面(オンライン併用型)",×,科目開設情報未確定のため,×,,Public Finance,FH23051,財政学,2025/5/27 12:13
FH27081,マクロ経済学,1,2,46057,秋AB,"火1,2","大久保 正勝,チャン ランアンズーン",国内総生産、利子率、成長率などが一国経済の中でどのように決定されるかを考える。また、政府や中央銀行が実施する財政・金融政策がどのように経済活動に影響するかを議論する。,"公共システムエリア(2019年度以降入学者)。
オンライン(対面併用型)
オンライン対面併用。中間試験、期末試験は対面実施予定。
2018年度以前入学者はFH63021(専門基礎科目)を履修すること。",×,科目開設情報未確定のため,×,,Macroeconomics,FH63021,マクロ経済学,2025/11/2 12:13
FH27091,ネットワーク科学,1,2,46057,秋AB,"月1,2",佐野 幸恵,社会現象から自然現象まで、あらゆるところに存在する「関係性」を数理的に扱うネットワーク科学を学ぶ。講義では具体例を交えながらPythonを使った実習も行う。,"公共システムエリア
対面(オンライン併用型)",,,×,,Network Science,FH27091,ネットワーク科学,2025/1/9 10:36
FH27101,社会政策,1,2,46057,秋AB,"月5,6",岡本 翔平,本講義では、労働政策や社会保障といった社会政策について学ぶ。特に、経済学の基本的な考え方を用いて、社会政策が必要とされる理由、効率性や公平性の観点から見たその役割、社会政策の成り立ちや諸制度について、理解を深める。,"公共システムエリア
対面",,,×,,Social Policy,FH27101,社会政策,2025/12/11 8:37
社会工学類(社会経済:戦略行動システムエリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH24012,戦略行動システム演習,2,2,46057,春AB,"火1,2",上市 秀雄,統計分析用プログラムSPSSを利用した統計処理の基本概念と方法を演習を通して習得する。,"戦略行動システムエリア
対面(オンライン併用型)
履修希望者が多い場合は、社会工学類3・4年次生を優先する。",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar in Social and Economic Planning:Strategy and Behavior Area,FH24012,戦略行動システム演習,2025/12/16 11:44
FH24021,ゲーム論,1,2,46057,秋AB,"水1,2",澤 亮治,この講義では、社会を複数の利己的なエージェントから成るシステムと考え、複数の人の意思決定が関わる状況を分析するための数学的及び数理的基礎を学ぶ。,"戦略行動システムエリア
対面(オンライン併用型)",,,×,,Game Theory,FH24021,ゲーム論,2025/5/23 11:45
FH24031,意思決定論,1,2,46057,,,,効用モデル、リスク態度、トレード・オフなどの習得を通して、リスク下でののぞましい意思決定について学習する。さらに、社会・経済問題における代表的な対応策である保険を通して、リスク・マネジメントの手法について学習する。,"戦略行動システムエリア
2025年度開講せず。
オンライン(対面併用型)",×,科目開設情報未確定のため,×,,Decision Theory,FH24031,意思決定論,2025/12/17 17:33
FH24044,進化ゲーム論,4,2,46057,"春A
春B","月
月5,6",秋山 英三,"社会科学に大きな影響を与えたダーウィン進化論と学習理論を概観し,進化ゲーム論の初歩を学ぶ。人間の進化・学習(適応)が身近な社会現象を生み出すメカニズムを,具体例を通して追求する。","戦略行動システムエリア
対面(オンライン併用型)
対面(オンライン併用型)",,,×,,Evolutionary Game Theory,FH24044,進化ゲーム論,2025/12/9 15:42
FH24071,経済行動論,1,2,46057,春AB,"金3,4",上市 秀雄,"人間の経済行動に心理学的な側面からアプローチし,経済行動の理念および経済行動に影響を及ぼす各要因について概観する。","戦略行動システムエリア
対面(オンライン併用型)",,,×,,Behavioral Economics,FH24071,経済行動論,2024/1/9 19:32
FH24101,ミクロ経済学,1,2,46057,春AB,"火5,6",阿武 秀和,完全競争市場における資源配分に関する講義を行う。,"戦略行動システムエリア(2019年度以降入学者)。
対面(オンライン併用型)
対面(オンライン併用型)で行う。確認テストは対面実施予定。
2018年度以前入学者はFH63031(専門基礎科目)を履修すること。",×,科目開設情報未確定のため,×,,Microeconomics,FH63031,ミクロ経済学,2025/5/26 15:01
FH24111,実証ミクロ経済学,1,2,46057,秋AB,"金5,6",作道 真理,ミクロ的な実証分析、及び、政策評価に必要となる技術習得を目標とする。,"戦略行動システムエリア
オンライン(対面併用型)",,,×,,Empirical Microeconomics,FH24111,実証ミクロ経済学,2023/1/12 11:35
社会工学類(社会経済共通)専門科目(その他)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH25011,社会経済特別講義I(社会経済データ分析入門),1,1,46057,春C,集中,坂地 泰紀,社会経済分野の先端的かつ専門的な講義を行う。,"7/26,7/27
オンライン(オンデマンド型)",×,科目開設情報未確定のため,×,,Special Lectures on Socio-Economic Systems I (Introduction to Socio-Economic Data Analysis),FH25011,社会経済特別講義I(人工社会入門),2025/12/17 16:03
FH25031,社会経済特別講義III(脳と社会),1,1,46057,夏季休業中,集中,奥田 次郎,社会経済分野の先端的かつ専門的な講義を行う。,"9/7,9/20
対面",×,科目開設情報未確定のため,×,,Special Lectures on Socio-economic Systems III(Brain and Society),FH25031,社会経済特別講義III(脳と社会),2025/5/27 14:53
FH25051,国際貿易論,1,2,46057,春AB,"木1,2",内藤 久裕,,"西暦奇数年度開講。
BB41601, BC11411, BE22271と同一。
英語で授業。
対面",,,△,受講前に授業担当教員に連絡し受講許可を得る事,International Trade,BC11411,国際貿易論,2023/1/23 18:57
FH25061,産業組織論,1,2,3・4,,,,"「企業と市場の経済学」について講義する。ミクロ理論とゲーム理論の分析用具を用いて,産業内の諸企業の間の関係を考察する。","西暦偶数年度開講。
BB41281と同一。
オンライン(オンデマンド型)
オンライン(同時双方向型)",,,,,Industrial Organization,BB41281,産業組織論,2025/12/17 16:16
社会工学類(経営工学:マネジメントエリア)2019年度以降入学者対象,,,,,,,,,,,,,,,,,
科目番号,科目名,授業方法,単位数,標準履修年次,実施学期,曜時限,担当教員,授業概要,備考,科目等履修生申請可否,申請条件,短期留学生申請可否,申請条件,英語(日本語)科目名,科目コード,要件科目名,データ更新日
FH32012,マネジメント演習,2,2,46057,秋AB,"木3,4","岡田 幸彦,有馬 澄佳",アクセンチュア×筑波大学による、日本初の実課題・実データによる産学連携AI開発演習である。筑波大学は、“サービス工学×AI”の入門支援を行う。ウエルシア薬局株式会社は、現実のPOSデータと課題提供を行う。アクセンチュアは、ビジネス・アナリティクスおよびAIデザインの講義・ハンズオンを担当する。受講生は、これらの筑波大学にしかない演習環境下で、ウエルシア薬局をクライアントとする経営支援AI開発と導入提案を行う。,"エリア演習。マネジメントエリア。社会工学類2-4年(3年次履修推奨)
オンライン(対面併用型)
オンライン対面併用。
2018年度までの「マネジメント実習」に相当",×,"各組織の事情,及び各科目の特性並びに教育機器等の台数等により受け入れることが出来ないため",×,,Seminar on Management Science,FH32012,マネジメント演習,2025/12/18 18:01
